"id","Region","Rooms","Area","Price","Street","Zip","City"
6170,Basel-Stadt,"3","72","1620",Lorracherstrasse 126,"4125",Riehen
6171,Basel-Stadt,"3.5","100","2750",Voltastrasse 123,"4056",Basel
6179,Basel-Stadt,"3.5","114","2990",Engelgasse 79,"4052",Basel
6180,Basel-Stadt,"2.5","53","1890",Guterstrasse 321,"4053",Basel
6181,Basel-Stadt,"3","70","1715",Schwarzwaldallee 101,"4058",Basel
6182,Basel-Stadt,"1.5","23","960",Blasiring 104,"4057",Basel
6183,Basel-Stadt,"1","34","890",Missionsstrasse 38,"4055",Basel
6184,Basel-Stadt,"1.5","28","1142",Klybeckstrasse 190,"4057",Basel
6185,Basel-Stadt,"2.5","74","1860",Adlerstrasse 23,"4052",Basel
6186,Basel-Stadt,"3.5","86","1980",Guterstrasse 180,"4053",Basel
6187,Basel-Stadt,"1.5","38","880",Wiesenstrasse 14,"4057",Basel
6188,Basel-Stadt,"2","50","1610",Vogesenstrasse 135/2,"4056",Basel
6189,Basel-Stadt,"3.5","125","2710",St. Jakobs-Strasse 92,"4052",Basel
6190,Basel-Stadt,"4","163","3350",Jacob Burckhardt-Strasse 61,"4052",Basel
6191,Basel-Stadt,"1.5","31","950",Achilles-Bischoff-Strasse 2,"4053",Basel
6192,Basel-Stadt,"4.5","137","2540",Sierenzerstrasse 9,"4055",Basel
6193,Basel-Stadt,"3.5","99","3300",Sankt Johanns-Platz 27,"4056",Basel
6194,Basel-Stadt,"1","22","1050",Davidsbodenstrasse,"4056",Basel
6195,Basel-Stadt,"1","20","1010",Metzerstrasse,"4056",Basel
6197,Basel-Stadt,"1","21","1020",Davidsbodenstrasse,"4056",Basel
6199,Basel-Stadt,"3","77","1590",Riehenstrasse 141,"4058",Basel
6200,Basel-Stadt,"3","64","1850",Oetlingerstrasse 161,"4057",Basel
6201,Basel-Stadt,"2","57","1290",Hiltalingerstrasse 5,"4057",Basel
6203,Basel-Stadt,"3.5","156","4810",Stanzlergasse 4,"4051",Basel
6204,Basel-Stadt,"1","30","1120",Utengasse 44,"4058",Basel
6206,Basel-Stadt,"4","105","2590",Burgunderstrasse 46,"4051",Basel
6207,Basel-Stadt,"2","61","1500",Lorracherstr. 107,"4125",Riehen
6208,Basel-Stadt,"1","30","1120",Utengasse 44,"4058",Basel
6209,Basel-Stadt,"1","34","1025",Steinenvorstadt 50,"4051",Basel
6210,Basel-Stadt,"1","18","655",Hammerstrasse,"4000",Basel
6212,Basel-Stadt,"2.5","58","1480",In den Ziegelhofen 153,"4054",Basel
